x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y0,y1
17.3,5.2,15,6.0,11.84,360,300,300,1.0,0.09,0.97,0.85
14.7,5.0,23,7.0,19.73,450,360,360,1.0,0.14,0.78,0.45
19.6,5.2,15,6.0,12.29,450,330,330,1.0,0.11,0.92,0.86
18.0,2.5,15,5.97,10.32,300,240,300,1.25,0.13,0.83,0.87
19.56,5.72,10,6.0,9.18,500,330,400,1.21,0.14,0.84,0.8
19.9,3.0,18,6.6,15.19,400,330,330,1.0,0.11,0.91,0.96
21.6,5.1,15,6.0,10.37,400,360,450,1.25,0.08,0.97,0.89
19.86,3.5,15,5.0,8.09,360,300,300,1.0,0.11,0.98,0.93
24.52,5.2,10,6.0,7.47,400,330,330,1.0,0.11,1.01,0.87
19.48,6.7,10,6.6,8.76,450,360,360,1.0,0.1,0.99,0.75
14.8,4.2,10,7.0,9.33,300,240,300,1.25,0.12,0.98,0.92
13.56,4.7,10,6.0,7.54,300,220,220,1.0,0.13,0.81,0.81
29.52,5.2,15,6.0,10.26,500,360,400,1.11,0.14,0.93,0.95
14.6,5.0,12,5.0,8.07,330,240,330,1.38,0.1,0.94,0.94
25.9,2.5,15,6.0,10.57,400,330,330,1.0,0.11,0.81,0.94
19.48,5.25,3,5.0,3.47,400,300,300,1.0,0.09,0.9,0.84
17.9,2.0,22,7.0,18.47,300,270,270,1.0,0.11,0.87,0.87
14.4,2.5,20,6.0,13.82,300,240,240,1.0,0.1,0.82,0.88
18.0,3.6,11,6.0,8.17,330,270,270,1.0,0.11,0.85,0.81
19.98,5.3,18,7.0,16.79,500,360,500,1.39,0.13,0.95,0.88
17.6,6.2,12,6.15,10.39,400,270,400,1.48,0.14,0.89,0.88
14.48,5.0,10,6.5,10.19,330,270,330,1.22,0.1,0.99,0.68
19.66,6.05,6,5.75,5.08,400,270,300,1.11,0.14,0.86,0.87
14.9,3.5,20,5.0,11.16,300,240,300,1.25,0.13,1.05,0.84
19.56,5.0,10,7.0,9.4,400,300,300,1.0,0.12,0.94,0.9
15.9,3.25,15,7.0,15.14,360,270,360,1.33,0.14,0.96,0.9
20.48,3.55,14,5.6,8.75,330,270,270,1.0,0.11,0.85,0.93
21.6,5.2,12,6.0,8.76,400,300,400,1.33,0.13,0.98,0.94
20.98,4.49,8,5.0,7.04,450,330,330,1.0,0.11,0.85,0.97
18.0,5.2,15,6.0,13.92,500,400,400,1.0,0.1,1.03,0.81
20.0,3.5,22,5.0,10.95,330,270,270,1.0,0.11,0.91,0.96
21.6,5.7,15,6.0,11.82,500,360,450,1.25,0.1,0.81,0.91
15.75,5.2,15,6.0,12.31,400,300,300,1.0,0.1,0.92,0.92
22.0,5.7,15,6.6,14.05,500,330,400,1.21,0.14,0.89,0.88
17.8,5.2,6,6.0,5.36,360,270,270,1.0,0.1,0.99,0.89
24.56,4.7,12,6.65,11.77,500,400,400,1.0,0.11,0.96,0.96
18.98,5.45,6,6.5,5.73,360,300,300,1.0,0.11,0.97,0.69
20.0,2.5,20,5.0,10.62,330,270,330,1.22,0.13,0.8,0.89
23.4,4.0,18,6.0,13.22,500,400,400,1.0,0.1,0.9,0.95
14.1,4.7,15,5.0,9.2,300,240,240,1.0,0.09,0.85,0.82
19.2,5.2,15,6.0,10.37,360,300,300,1.0,0.09,0.96,0.87
15.58,5.95,11,5.87,8.04,360,270,270,1.0,0.11,0.95,0.75
14.56,4.2,12,5.0,6.65,270,220,240,1.09,0.09,0.84,0.85
19.6,5.2,15,6.0,10.46,400,300,300,1.0,0.1,0.83,0.9
11.98,4.05,6,6.0,5.29,270,220,220,1.0,0.06,0.84,0.91
15.76,5.4,13,5.87,10.84,400,300,400,1.33,0.11,0.96,0.83
16.0,6.3,15,6.0,12.04,450,330,330,1.0,0.09,0.85,0.78
20.17,6.1,14,4.91,10.12,450,330,400,1.21,0.11,1.01,0.94
18.1,5.0,15,7.2,15.97,500,360,360,1.0,0.11,0.81,0.79
18.98,5.3,6,6.0,7.27,450,330,330,1.0,0.11,0.88,0.84
15.0,5.2,15,6.25,13.08,360,270,270,1.0,0.1,0.96,0.98
19.56,6.3,12,6.25,11.34,500,360,360,1.0,0.1,0.92,0.85
13.6,5.0,6,5.67,6.77,330,240,300,1.25,0.11,0.99,0.76
19.4,5.24,15,6.25,13.08,450,360,450,1.25,0.09,1.02,0.95
11.52,4.7,12,5.4,9.27,330,240,240,1.0,0.13,0.88,0.87
21.11,5.0,15,6.0,12.12,400,330,400,1.21,0.11,0.98,0.89
18.48,4.7,10,6.22,8.16,400,300,300,1.0,0.09,0.82,0.87
20.06,4.7,10,6.0,7.67,360,300,300,1.0,0.1,1.0,0.88
14.61,5.45,12,6.0,10.36,360,270,270,1.0,0.1,0.84,0.95
14.0,5.7,15,4.5,9.63,450,300,300,1.0,0.09,0.85,0.98
13.48,5.0,5,4.75,5.13,300,240,240,1.0,0.07,0.91,0.91
19.6,5.2,15,6.0,10.57,400,300,400,1.33,0.13,0.9,0.83
19.52,5.2,12,5.8,8.54,400,300,360,1.2,0.12,0.88,0.84
19.6,5.7,15,7.1,15.66,500,360,360,1.0,0.1,0.97,0.98
16.0,3.0,20,5.0,9.32,270,240,240,1.0,0.09,0.92,0.88
16.6,5.2,10,6.0,9.22,360,300,300,1.0,0.08,0.98,0.88
19.52,6.3,15,5.0,10.97,500,360,450,1.25,0.12,0.83,0.99
19.61,5.2,7,6.5,8.47,450,330,330,1.0,0.09,0.84,0.95
19.44,5.2,18,7.0,14.89,400,330,400,1.21,0.1,1.0,0.91
15.6,5.2,10,6.5,10.15,360,300,300,1.0,0.1,0.98,0.72
17.48,6.2,5,6.15,6.67,450,330,330,1.0,0.07,0.85,0.9
14.48,6.3,6,5.4,6.26,360,270,360,1.33,0.1,1.06,0.82
