F-PLE,F-STI,F-COM,F-DYN,F-PUB,LUM-0,LUM-25,LUM-50,LUM-75,LUM-100,SAT-0,SAT-25,SAT-50,SAT-75,SAT-100,RGB-R,RGB-G,RGB-B,ISO-0,ISO-25,ISO-50,ISO-75,ISO-100,LY-A,LY-B,SC-A,SC-B,OP
0.5,0.25,0,0.25,0,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.5,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.5,0.5,0.25,0,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.25,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.25,0.25,0.5,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.25,0.25,0.5,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.25,0.25,0.25,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.5,0.25,0.25,0.25,0.5,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.5,0.25,0.25,0.75,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
0.75,0.5,0,0,0.25,0.429412,0.592157,0.647059,0.72549,0.95098,0,0.022989,0.039216,0.167464,0.68,0.653486,0.667545,0.683837,0.155038,0.2114,0.278922,1,1,0,0,0,0,0
